id,user_id,session_id,timestamp,health_profile,product_id,product_name,barcode,category,ingredients,season,action,dlc_days,hour,cart_id,order_id,quantity,price
1129,306e2dee-45e4-4b39-9b11-84df4671ada2,sess_104,01:33.2,Obesity. Gluten intolerance,118,Chicken thighs,2502000038,Meat & Poultry,Halal meat. No additives,Winter,purchase,194,19,17,350,1,970
1392,313a9d3f-210f-4178-b836-017d55c6d8b1,sess_8,30:53.7,None,146,Merguez sausages,2502000066,Meat & Poultry,Halal meat. No additives,Spring,purchase,109,12,35,163,1,500
1248,0747b7f5-f8d4-4582-b20c-2ab53700fbe0,sess_454,04:04.7,Lactose intolerance,130,Chicken thighs,2502000050,Meat & Poultry,Halal meat. No additives,Winter,search,395,22,,,,
1538,08413262-471c-4000-bee0-94f028714c51,sess_304,55:24.4,Vegan,160,Beef tenderloin,2502000080,Meat & Poultry,Halal meat. No additives,Winter,purchase,323,9,58,74,1,785
624,0698810d-2b5d-4b89-8998-c70897f56f92,sess_149,21:48.7,High blood pressure,61,Grapes 1kg,2501100061,Fruits & Vegetables,Fresh products. No preservatives,Winter,purchase,372,22,96,9,1,300
1192,076e2764-98c5-491e-b7f7-a7d41ed5f4e9,sess_308,15:48.8,None,124,Beef tenderloin,2502000044,Meat & Poultry,Halal meat. No additives,Winter,purchase,302,18,22,250,1,215
1417,32c1512b-c890-477c-b126-9bdc97d9ea98,sess_108,54:26.1,Gluten intolerance,149,Turkey escalope,2502000069,Meat & Poultry,Halal meat. No additives,Winter,purchase,211,17,40,277,1,820
1021,509572f2-5e28-49b0-8500-cc9e930be7ff,sess_122,17:32.1,Gluten intolerance,104,Whole chicken,2502000024,Meat & Poultry,Halal meat. No additives,Winter,purchase,139,16,11,236,1,990
932,9e81b4d0-36eb-4253-af33-27e25ef71e3c,sess_147,25:38.2,None,94,Chicken thighs,2502000014,Meat & Poultry,Halal meat. No additives,Winter,view,307,3,,,,565
1436,605f365b-375a-444d-b499-455d324615fd,sess_274,35:01.6,High cholesterol,150,Kefta meatballs,2502000070,Meat & Poultry,Halal meat. No additives,Spring,purchase,81,22,21,134,1,715
887,64babb01-1cca-4d6f-86cd-76ae3d9bc2ee,sess_294,56:06.9,Vegetarian,88,Beef tenderloin,2502000008,Meat & Poultry,Halal meat. No additives,Winter,purchase,258,6,156,279,1,710
1103,69663972-3579-4cfa-a2e2-a1b47e76cec6,sess_328,24:37.4,Obesity. Diabetes,114,Kefta meatballs,2502000034,Meat & Poultry,Halal meat. No additives,Winter,purchase,399,14,10,351,1,545
1530,6a3cae51-96f0-4c71-b455-ee972fdd4efd,sess_226,49:53.2,Lactose intolerance,160,Beef tenderloin,2502000080,Meat & Poultry,Halal meat. No additives,Winter,purchase,332,23,87,230,1,785
1411,6f56871a-5649-48e7-b3b8-d7216817288c,sess_102,20:09.5,Nut allergy. Lactose intolerance,148,Beef tenderloin,2502000068,Meat & Poultry,Halal meat. No additives,Spring,purchase,266,6,82,144,1,655
1225,7decf8bb-2d5a-41df-926e-2513271e9fb5,sess_355,32:02.4,Nut allergy,128,Whole chicken,2502000048,Meat & Poultry,Halal meat. No additives,Winter,purchase,198,13,72,362,1,975
855,853a2f73-c021-4e9c-9540-380f472d8f9c,sess_57,35:57.7,Seafood allergy,85,Couscous meat,2502000005,Meat & Poultry,Halal meat. No additives,Winter,purchase,138,19,37,229,1,805
1114,94f42f1e-fb08-499a-ad5d-4c5030263265,sess_53,40:47.8,Obesity,116,Whole chicken,2502000036,Meat & Poultry,Halal meat. No additives,Spring,purchase,332,23,31,124,1,825
1128,9e81b4d0-36eb-4253-af33-27e25ef71e3c,sess_159,19:04.1,None,118,Chicken thighs,2502000038,Meat & Poultry,Halal meat. No additives,Winter,purchase,155,21,15,247,1,970
1384,9e81b4d0-36eb-4253-af33-27e25ef71e3c,sess_358,50:03.2,None,145,Couscous meat,2502000065,Meat & Poultry,Halal meat. No additives,Winter,purchase,119,13,15,247,1,710
956,9e81b4d0-36eb-4253-af33-27e25ef71e3c,sess_312,45:15.1,None,96,Ground beef 15% fat,2502000016,Meat & Poultry,Halal meat. No additives,Winter,purchase,212,7,15,254,1,915
1839,0698810d-2b5d-4b89-8998-c70897f56f92,sess_483,33:13.6,High blood pressure,197,Tuna,2503000037,Fish & Seafood,Fresh fish. Daily catch,Winter,purchase,313,13,96,374,1,980
738,0698810d-2b5d-4b89-8998-c70897f56f92,sess_315,42:20.0,High blood pressure,73,Bananas 1kg,2501100073,Fruits & Vegetables,Fresh products. No preservatives,Spring,purchase,161,15,96,460,1,235
1888,122f96c6-46ef-43a8-a3d7-db08fb1046e7,sess_127,59:29.9,High blood pressure,202,Plain yogurt,2504000002,Dairy Products,Pasteurized milk. Lactic ferments,Spring,purchase,283,23,8,161,1,55
1185,9e81b4d0-36eb-4253-af33-27e25ef71e3c,sess_289,27:13.1,None,124,Beef tenderloin,2502000044,Meat & Poultry,Halal meat. No additives,Winter,purchase,296,6,15,93,1,215
970,cf1a5862-2349-4941-acf7-90ad2d08d34e,sess_385,35:15.1,Lactose intolerance,97,Couscous meat,2502000017,Meat & Poultry,Halal meat. No additives,Winter,purchase,143,15,39,386,1,335
1285,d02a3cce-e0d4-4c96-ab79-6e9452ad6d31,sess_33,24:56.5,Celiac disease,133,Couscous meat,2502000053,Meat & Poultry,Halal meat. No additives,Spring,purchase,68,15,23,169,1,650
2101,1c2fff2e-c3c1-437f-a6ac-7a671545d3e6,sess_141,07:38.2,Nut allergy,227,Kiri cheese,2504000027,Dairy Products,Pasteurized milk. Lactic ferments,Winter,purchase,151,9,30,6,1,105
1637,27403d98-f72b-479f-9248-dad1a7c7c137,sess_47,45:01.1,Seafood allergy,173,Tuna,2503000013,Fish & Seafood,Fresh fish. Daily catch,Spring,purchase,93,22,12,142,1,530
1323,509572f2-5e28-49b0-8500-cc9e930be7ff,sess_16,03:03.7,Gluten intolerance,139,Kefta meatballs,2502000059,Meat & Poultry,Halal meat. No additives,Spring,purchase,340,4,11,458,1,735
1055,69663972-3579-4cfa-a2e2-a1b47e76cec6,sess_461,19:33.2,Obesity. Diabetes,108,Ground beef 15% fat,2502000028,Meat & Poultry,Halal meat. No additives,Winter,purchase,194,5,10,436,1,710
1599,27403d98-f72b-479f-9248-dad1a7c7c137,sess_90,51:34.7,Seafood allergy,169,Mackerel,2503000009,Fish & Seafood,Fresh fish. Daily catch,Spring,purchase,84,15,12,483,1,1465
1045,69663972-3579-4cfa-a2e2-a1b47e76cec6,sess_29,37:12.6,Obesity. Diabetes,107,Ground beef 5% fat,2502000027,Meat & Poultry,Halal meat. No additives,Winter,purchase,327,5,10,453,1,420
