id,barcode,name,price,category_name,brand,supplier,expiration_date,allergens,Ingredients vary by product,tags
1,2501000001,Potatoes bulk,170,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,6/4/2026 22:44,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
2,2501000002,Yellow onions bulk,145,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,9/14/2026 3:01,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
3,2501000003,Carrots bulk,175,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,7/11/2026 22:58,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
4,2501000004,Zucchini bulk,160,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,7/8/2026 23:35,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
5,2501000005,Green peppers bulk,60,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,11/29/2026 16:23,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
6,2501000006,Eggplants bulk,115,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,7/13/2026 21:42,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
7,2501000007,Green salad bulk,140,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,1/23/2027 23:08,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
8,2501000008,Cucumbers bulk,75,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,8/12/2026 12:53,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
9,2501000009,Green beans bulk,90,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,11/28/2026 8:27,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
10,2501000010,Round tomatoes bulk,175,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,9/13/2026 5:15,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
11,2501000011,Potatoes bulk,110,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,9/21/2026 12:44,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
12,2501000012,Yellow onions bulk,60,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,10/18/2026 12:37,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
13,2501000013,Carrots bulk,105,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,6/1/202
6 8:05,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
14,2501000014,Zucchini bulk,190,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,7/9/2026 8:52,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
15,2501000015,Green peppers bulk,195,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,2/11/2027 15:07,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
16,2501000016,Eggplants bulk,70,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,2/9/2027 4:17,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
17,2501000017,Green salad bulk,95,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,6/27/2026 17:38,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
18,2501000018,Cucumbers bulk,105,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,9/3/2026 14:16,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
19,2501000019,Green beans bulk,160,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,8/5/2026 5:57,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
20,2501000020,Round tomatoes bulk,55,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,8/1/2026 15:49,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
21,2501000021,Potatoes bulk,190,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,1/14/2027 20:23,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
22,2501000022,Yellow onions bulk,195,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,7/25/2026 5:17,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
23,2501000023,Carrots bulk,80,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,11/10/2026 15:31,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
24,2501000024,Zucchini bulk,195,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,11/28/2026 20:39,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
25,2501000025,Green peppers bulk,145,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,10/19/2026 7:37,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
26,2501000026,Eggplants bulk,95,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,10/13/2026 21:56,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
27,2501000027,Green salad bulk,70,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,12/14/2026 18:11,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
28,2501000028,Cucumbers bulk,185,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,11/23/2026 8:34,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
29,2501000029,Green beans bulk,190,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,12/3/2026 4:49,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
30,2501000030,Round tomatoes bulk,190,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,8/7/2026 6:06,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
31,2501000031,Potatoes bulk,120,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,11/26/2026 8:07,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
32,2501000032,Yellow onions bulk,130,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,7/15/2026 1:43,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
